Model,Transimission_Type,Year,CC,Usage Origin,Price
Nissan Note E Power,Automatic,2017,1200 CC,Foreign Used,"KES 1,269,999"
Toyota Mark X ZiO,Automatic,2012,2400 CC,Kenyan Used,"KES 1,399,999"
Mercedes Benz GLE 350d,Automatic,2015,3000 CC,Kenyan Used,"KES 5,799,999"
Honda Fit,Automatic,2017,1300 CC,Foreign Used,"KES 1,479,999"
Toyota Axio,Automatic,2015,1500 CC,Kenyan Used,"KES 1,499,999"
Subaru Forester,Automatic,2012,2000 CC,Kenyan Used,"KES 1,599,999"
Toyota Mark II,Automatic,2002,2500 CC,Kenyan Used,"KES 589,999"
Toyota Hiace,Automatic,2012,2700 CC,Kenyan Used,"KES 2,249,999"
Nissan Note,Automatic,2017,1200 CC,Foreign Used,"KES 1,299,999"
Toyota Noah,Automatic,2012,2000 CC,Kenyan Used,"KES 1,149,999"
Audi A5,Automatic,2017,2000 CC,Foreign Used,"KES 3,999,999"
Toyota Auris,Automatic,2013,1500 CC,Kenyan Used,"KES 1,299,999"
Subaru Outback,Automatic,2022,2500 CC,Kenyan Used,"KES 7,699,999"
Peugeot 208,Automatic,2017,1200 CC,Foreign Used,"KES 1,279,999"
Toyota Auris,Automatic,2012,1500 CC,Kenyan Used,"KES 1,189,999"
Hyundai HD65,Manual,2019,3600 CC,Kenyan Used,"KES 3,199,999"
Honda CR Z,Automatic,2015,1500 CC,Kenyan Used,"KES 1,399,999"
BMW 320i,Automatic,2008,2000 CC,Kenyan Used,"KES 969,999"
BMW 520i,Automatic,2012,2000 CC,Kenyan Used,"KES 1,799,999"
Mazda Axela,Automatic,2015,2200 CC,Kenyan Used,"KES 1,649,999"
Mercedes Benz C200,Automatic,2014,2000 CC,Kenyan Used,"KES 3,049,999"
Toyota Fielder Hybrid,Automatic,2015,1500 CC,Kenyan Used,"KES 1,429,999"
Daihatsu Begu,Automatic,2014,1500 CC,Kenyan Used,"KES 1,499,999"
Volkswagen Polo,Automatic,2005,1400 CC,Kenyan Used,"KES 299,999"
Volvo XC60,Automatic,2018,2000 CC,Foreign Used,"KES 5,599,999"
Volkswagen Tiguan,Automatic,2017,1400 CC,Kenyan Used,"KES 3,999,999"
Subaru Forester,Automatic,2013,2000 CC,Kenyan Used,"KES 1,999,999"
Renault Megane,Automatic,2017,1600 CC,Foreign Used,"KES 2,299,999"
Lexus LS460,Automatic,2014,4600 CC,Kenyan Used,"KES 4,899,999"
Subaru XV,Automatic,2012,2000 CC,Kenyan Used,"KES 1,499,999"
Landrover Discovery V,Automatic,2017,3000 CC,Kenyan Used,"KES 9,999,999"
Daihatsu Mira,Automatic,2017,660 CC,Foreign Used,"KES 879,999"
Subaru XV,Automatic,2015,2000 CC,Kenyan Used,"KES 1,849,999"
BMW 116i,Automatic,2014,1600 CC,Kenyan Used,"KES 1,499,999"
Audi Q5,Automatic,2017,2000 CC,Foreign Used,"KES 4,549,999"
Volkswagen Golf Alltrack,Automatic,2016,1800 CC,Kenyan Used,"KES 2,149,999"
Volkswagen Passat,Automatic,2012,1800 CC,Kenyan Used,"KES 1,689,999"
Toyota Hilux Surf,Automatic,2004,2700 CC,Kenyan Used,"KES 1,179,999"
Toyota Carina,Manual,1998,2000 CC,Kenyan Used,"KES 419,999"
Mazda CX5,Automatic,2016,2000 CC,Foreign Used,"KES 2,649,999"
Subaru Outback,Automatic,2017,2500 CC,Kenyan Used,"KES 3,449,999"
Toyota Vitz,Automatic,2013,1300 CC,Kenyan Used,"KES 729,999"
Range Rover Vogue,Automatic,2008,4400 CC,Kenyan Used,"KES 3,499,999"
Suzuki Swift,Automatic,2017,1200 CC,Foreign Used,"KES 1,299,999"
Mercedes Benz C200,Automatic,2016,2000 CC,Foreign Used,"KES 2,999,999"
Mercedes Benz C250,Automatic,2013,2143 CC,Kenyan Used,"KES 2,299,999"
Ford Ranger,Automatic,2015,3200 CC,Kenyan Used,"KES 4,999,999"
Honda Freed,Automatic,2015,1500 CC,Foreign Used,"KES 1,299,999"
Volvo V60,Automatic,2016,1600 CC,Foreign Used,"KES 2,049,999"
Subaru Forester,Automatic,2016,2000 CC,Foreign Used,"KES 3,049,999"
Nissan Note,Automatic,2016,1200 CC,Kenyan Used,"KES 1,189,999"
Subaru Impreza,Automatic,2014,2000 CC,Kenyan Used,"KES 1,449,999"
Suzuki Swift,Automatic,2014,1200 CC,Kenyan Used,"KES 789,999"
Toyota Mark X,Automatic,2012,2500 CC,Kenyan Used,"KES 1,399,999"
Subaru Impreza,Manual,2009,1500 CC,Kenyan Used,"KES 799,999"
Nissan Note,Automatic,2013,1200 CC,Kenyan Used,"KES 749,999"
Lexus NX200T,Automatic,2016,2000 CC,Kenyan Used,"KES 3,799,999"
Honda CRV,Automatic,2013,2400 CC,Kenyan Used,"KES 1,549,999"
Subaru Levorg,Automatic,2016,2000 CC,Kenyan Used,"KES 2,199,999"
Subaru Legacy,Automatic,2012,2500 CC,Kenyan Used,"KES 1,399,999"
Toyota RAV4,Automatic,2009,2400 CC,Kenyan Used,"KES 1,399,999"
Audi A5,Automatic,2015,2000 CC,Kenyan Used,"KES 2,599,999"
Volvo XC60,Automatic,2017,2000 CC,Foreign Used,"KES 5,699,999"
Toyota Auris,Automatic,2014,1500 CC,Kenyan Used,"KES 1,399,999"
Toyota Harrier,Automatic,2017,2000 CC,Foreign Used,"KES 3,799,999"
Mitsubishi Outlander,Automatic,2014,2400 CC,Kenyan Used,"KES 2,249,999"
Volkswagen Passat,Automatic,2011,1800 CC,Kenyan Used,"KES 979,999"
Toyota Axio,Automatic,2009,1500 CC,Kenyan Used,"KES 899,999"
Nissan Note,Automatic,2017,1200 CC,Foreign Used,"KES 1,229,999"
Mazda CX3,Automatic,2015,1500 CC,Kenyan Used,"KES 1,499,999"
Toyota Fielder,Automatic,2012,1800 CC,Kenyan Used,"KES 1,145,000"
Toyota Isis,Automatic,2011,1800 CC,Kenyan Used,"KES 889,999"
Nissan Pino,Automatic,2009,660 CC,Kenyan Used,"KES 409,999"
Toyota Vitz,Automatic,2012,1300 CC,Kenyan Used,"KES 709,999"
Nissan XTRAIL,Automatic,2012,2000 CC,Kenyan Used,"KES 1,479,999"
Toyota NZE,Automatic,2002,1800 CC,Kenyan Used,"KES 599,999"
Volkswagen Golf GTI,Automatic,2018,2000 CC,Foreign Used,"KES 3,499,999"
Toyota Runx,Automatic,2002,1500 CC,Kenyan Used,"KES 599,999"
Subaru Impreza,Automatic,2014,2000 CC,Kenyan Used,"KES 1,399,999"
Toyota Harrier,Automatic,2017,2500 CC,Foreign Used,"KES 4,499,999"
Nissan Note,Automatic,2017,1200 CC,Foreign Used,"KES 1,269,999"
Mercedes Benz GLA 45,Automatic,2015,2000 CC,Kenyan Used,"KES 5,449,999"
Toyota Harrier,Automatic,2004,2400 CC,Kenyan Used,"KES 999,999"
Mercedes Benz C200,Automatic,2013,1800 CC,Kenyan Used,"KES 2,099,999"
Mazda Axela,Automatic,2017,1500 CC,Foreign Used,"KES 1,799,999"
Toyota Isis,Automatic,2015,1800 CC,Kenyan Used,"KES 1,169,999"
Toyota Allion,Automatic,2006,1800 CC,Kenyan Used,"KES 769,999"
Toyota Voltz,Automatic,2003,1800 CC,Kenyan Used,"KES 569,999"
Honda Fit,Automatic,2011,1300 CC,Kenyan Used,"KES 729,999"
Subaru Forester XT,Automatic,2017,2000 CC,Kenyan Used,"KES 3,399,999"
Toyota Passo,Automatic,2016,1000 CC,Kenyan Used,"KES 999,999"
Toyota Hilux,Manual,2015,2500 CC,Kenyan Used,"KES 3,799,999"
Ford Ranger,Manual,2011,2200 CC,Kenyan Used,"KES 1,599,999"
Ford Ranger,Manual,2023,3200 CC,Kenyan Used,"KES 4,499,999"
