Model,Transimission_Type,Year,CC,Usage Origin,Price
"Toyota Auris ""Turbo""",Automatic,2016,1200 CC,Foreign Used,"KES 1,899,999"
Toyota Sienta,Automatic,2016,1500 CC,Kenyan Used,"KES 1,250,000"
BMW X3 XDRIVE20D,Automatic,2016,2000 CC,Foreign Used,"KES 4,099,999"
Suzuki Swift,Automatic,2016,1200 CC,Foreign Used,"KES 1,350,000"
Mazda Demio 1.5L,Automatic,2016,1500 CC,Foreign Used,"KES 1,290,000"
Nissan Skyline 200GT,Automatic,2015,2000 CC,Kenyan Used,"KES 1,999,999"
"Toyota Landcruiser V8 ""ZX""",Automatic,2011,4600 CC,Kenyan Used,"KES 6,449,999"
Toyota Noah,Automatic,2016,2000 CC,Foreign Used,"KES 2,399,999"
Mercedes Benz GLA 250 4 MATIC,Automatic,2016,2000 CC,Foreign Used,"KES 3,699,999"
Toyota Passo,Automatic,2016,1200 CC,Foreign Used,"KES 1,149,999"
Volkswagen Golf AllTrack,Automatic,2016,1800 CC,Kenyan Used,"KES 2,249,999"
Toyota Harrier,Automatic,2017,2000 CC,Foreign Used,"KES 3,849,999"
Mercedes Benz C250,Automatic,2016,2000 CC,Foreign Used,"KES 4,599,999"
Toyota Voxy,Automatic,2016,2000 CC,Foreign Used,"KES 2,499,999"
Landrover Defender 110,Automatic,2010,2500 CC,Kenyan Used,"KES 4,299,999"
Toyota Hilux D CAB,Automatic,2018,2400 CC,Foreign Used,"KES 6,199,999"
Mazda Bongo,Automatic,2013,1500 CC,Kenyan Used,"KES 829,999"
Mazda Demio,Automatic,2016,1300 CC,Foreign Used,"KES 1,299,999"
Toyota Harrier/PANORAMIC SUNROOF,Automatic,2017,2000 CC,Foreign Used,"KES 3,949,999"
Daihatsu Move,Automatic,2016,660 CC,Foreign Used,"KES 859,999"
Toyota Allion 2.0L,Automatic,2016,2000 CC,Foreign Used,"KES 2,449,999"
Audi A3,Automatic,2016,1400 CC,Foreign Used,"KES 2,399,999"
Subaru Forester 2.0 NA,Automatic,2000,2000 CC,Kenyan Used,"KES 629,999"
Volkswagen Tiguan,Automatic,2017,1400 CC,Foreign Used,"KES 3,999,999"
Suzuki Ignis Hybrid,Automatic,2016,1200 CC,Foreign Used,"KES 1,349,999"
Hyundai Santa Fe,Automatic,2014,2400 CC,Kenyan Used,"KES 2,849,999"
Subaru Levorg,Automatic,2016,2000 CC,Foreign Used,"KES 2,499,999"
Volkswagen Golf TSI 1.4L,Automatic,2016,1400 CC,Foreign Used,"KES 2,169,999"
Mercedes Benz GLC 250 4 MATIC /SUNROOF,Automatic,2016,2000 CC,Foreign Used,"KES 6,199,999"
Nissan Note,Automatic,2017,1200 CC,Kenyan Used,"KES 1,199,999"
Subaru Forester XT/SUNROOF,Automatic,2016,2000 CC,Kenyan Used,"KES 3,499,999"
Toyota Corolla Axio,Automatic,2016,1500 CC,Foreign Used,"KES 1,729,999"
Mazda Atenza 2.2D,Automatic,2016,2200 CC,Foreign Used,"KES 2,349,999"
Mazda Atenza 2.5L,Automatic,2016,2500 CC,Foreign Used,"KES 2,499,999"
Nissan Teana,Automatic,2012,2000 CC,Kenyan Used,"KES 1,349,999"
Toyota Passo,Automatic,2015,1200 CC,Kenyan Used,"KES 890,000"
Volkswagen Golf TSI,Automatic,2016,1400 CC,Foreign Used,"KES 2,049,999"
Toyota Hilux D Cab,Automatic,2018,2400 CC,Foreign Used,"KES 6,299,999"
Subaru Legacy B4,Automatic,2016,2500 CC,Foreign Used,"KES 2,599,999"
Toyota Porte,Automatic,2011,1500 CC,Kenyan Used,"KES 740,000"
Nissan XTRAIL,Automatic,2017,2000 CC,Foreign Used,"KES 2,599,999"
Toyota Vanguard,Automatic,2012,2400 CC,Kenyan Used,"KES 1,799,999"
Jeep Grand Cherokee Diesel,Automatic,2016,3000 CC,Kenyan Used,"KES 4,999,999"
Subaru Exiga Crossover,Automatic,2016,2500 CC,Kenyan Used,"KES 2,250,000"
Mazda CX-5,Automatic,2017,2200 CC,Foreign Used,"KES 3,399,999"
Mazda Axela,Automatic,2016,2200 CC,Kenyan Used,"KES 1,999,999"
Audi Q5 S-Line,Automatic,2016,2000 CC,Foreign Used,"KES 4,299,999"
Toyota Isis,Automatic,2016,1800 CC,Foreign Used,"KES 1,750,000"
Honda Fit Shuttle Hybrid,Automatic,2016,1500 CC,Foreign Used,"KES 1,699,999"
"Toyota Landcruiser ""ZX""",Automatic,2016,4600 CC,Kenyan Used,"KES 11,199,999"
Nissan Note,Automatic,2016,1200 CC,Foreign Used,"KES 1,170,000"
Peugeot 2008,Automatic,2016,1200 CC,Foreign Used,"KES 1,870,000"
Nissan Elgrand,Automatic,2012,2500 CC,Kenyan Used,"KES 1,349,999"
Mazda CX-5,Automatic,2017,2200 CC,Foreign Used,"KES 3,649,999"
Subaru XV,Automatic,2016,2000 CC,Foreign Used,"KES 2,399,999"
Mazda Axela,Automatic,2016,2200 CC,Foreign Used,"KES 2,100,000"
BMW 318i,Automatic,2004,2000 CC,Kenyan Used,"KES 749,999"
Mazda Atenza,Automatic,2016,2200 CC,Foreign Used,"KES 2,199,999"
"Toyota Landcruiser ""ZX""",Automatic,2017,4600 CC,Foreign Used,"KES 11,999,999"
Toyota Auris,Automatic,2016,1500 CC,Foreign Used,"KES 1,980,000"
Suzuki Jimny Land Adventure,Automatic,2016,660 CC,Foreign Used,"KES 1,950,000"
Mazda CX-5,Automatic,2017,2200 CC,Foreign Used,"KES 3,499,999"
Mazda CX-5,Automatic,2017,2000 CC,Foreign Used,"KES 3,550,000"
Audi A5 s line,Automatic,2015,2000 CC,Kenyan Used,"KES 2,999,999"
Mercedes Benz GLC 250 4MATIC,Automatic,2016,2000 CC,Foreign Used,"KES 5,999,999"
Audi Q5 S line,Automatic,2016,2000 CC,Foreign Used,"KES 4,549,999"
Volkswagen Golf Variant R-LINE,Automatic,2016,1400 CC,Foreign Used,"KES 2,249,999"
BMW X4 XDRIVE 20d,Automatic,2015,2000 CC,Kenyan Used,"KES 2,999,999"
Mitsubishi Outlander,Automatic,2016,2400 CC,Foreign Used,"KES 3,250,000"
Audi Q5,Automatic,2016,2000 CC,Foreign Used,"KES 4,499,999"
Audi Q5,Automatic,2016,2000 CC,Foreign Used,"KES 4,150,000"
Mercedes Benz C200,Automatic,2014,2000 CC,Kenyan Used,"KES 2,450,000"
BMW 218i,Automatic,2016,1500 CC,Foreign Used,"KES 1,950,000"
BMW X5 X-Drive 35i M Sport,Automatic,2015,3000 CC,Kenyan Used,"KES 6,299,999"
Toyota Majesta,Automatic,2005,4300 CC,Kenyan Used,"KES 999,999"
Audi A5,Automatic,2016,2000 CC,Foreign Used,"KES 3,599,999"
Volvo V40 T3,Automatic,2016,1600 CC,Foreign Used,"KES 2,049,999"
Audi Q5 Competition Plus,Automatic,2016,2000 CC,Foreign Used,"KES 4,499,999"
BMW X3 20d,Automatic,2016,2000 CC,Foreign Used,"KES 4,250,000"
Mercedes Benz CLA 180,Automatic,2015,1600 CC,Kenyan Used,"KES 3,499,999"
Peugeot 308,Automatic,2016,1200 CC,Foreign Used,"KES 1,649,999"
Mercedes Benz C200,Automatic,2016,2000 CC,Foreign Used,"KES 4,449,999"
Mazda CX-5,Automatic,2016,2000 CC,Foreign Used,"KES 3,100,000"
Nissan AD Van,Automatic,2015,1500 CC,Foreign Used,"KES 880,000"
Audi A4,Automatic,2015,2000 CC,Kenyan Used,"KES 2,349,999"
Jaguar XJ,Automatic,2014,2000 CC,Foreign Used,"KES 4,499,999"
Volkswagen Tiguan,Automatic,2017,1400 CC,Foreign Used,"KES 3,850,000"
Toyota Passo,Automatic,2016,1200 CC,Foreign Used,"KES 1,200,000"
Subaru Forester,Automatic,2016,2000 CC,Foreign Used,"KES 3,250,000"
BMW X6 / SUNROOF,Automatic,2009,3000 CC,Kenyan Used,"KES 2,499,999"
Toyota Passo,Automatic,2017,1000 CC,Foreign Used,"KES 1,149,999"
Toyota Harrier,Automatic,2016,2000 CC,Foreign Used,"KES 3,999,999"
Audi Q5,Automatic,2016,2000 CC,Foreign Used,"KES 4,449,999"
Toyota Corolla,Automatic,2018,1200 CC,Foreign Used,"KES 2,749,999"
Audi Q5,Automatic,2015,2000 CC,Kenyan Used,"KES 3,350,000"
Suzuki Ignis Hybrid,Automatic,2016,1200 CC,Foreign Used,"KES 1,349,999"
Mercedes Benz B180,Automatic,2016,1600 CC,Foreign Used,"KES 2,249,999"
BMW 320i GT,Automatic,2016,2000 CC,Foreign Used,"KES 3,499,999"
Toyota Porte,Automatic,2016,1500 CC,Foreign Used,"KES 1,100,000"
Audi Q5,Automatic,2016,2000 CC,Foreign Used,"KES 4,599,999"
Volkswagen Tiquan R-Line,Automatic,2017,1400 CC,Foreign Used,"KES 4,499,999"
BMW X3 20d M-Sport,Automatic,2016,2000 CC,Foreign Used,"KES 4,449,999"
Toyota Harrier,Automatic,2020,2000 CC,Foreign Used,"KES 7,499,999"
Volkswagen Golf R Variant,Automatic,2015,2000 CC,Foreign Used,"KES 3,500,000"
Volkswagen Passat,Automatic,2016,2000 CC,Foreign Used,"KES 3,450,000"
Audi Q7,Automatic,2007,3000 CC,Kenyan Used,"KES 2,599,999"
Honda Shuttle,Automatic,2016,1500 CC,Foreign Used,"KES 1,700,000"
Volvo V40 T3,Automatic,2016,1600 CC,Foreign Used,"KES 2,200,000"
Toyota Hiace,Automatic,2010,3000 CC,Kenyan Used,"KES 1,250,000"
Mercedes Benz C250,Automatic,2016,2000 CC,Foreign Used,"KES 4,599,999"
Mercedes Benz C200,Automatic,2016,2000 CC,Foreign Used,"KES 3,899,999"
Volkswagen Golf Alltrack,Automatic,2016,1800 CC,Kenyan Used,"KES 2,350,000"
Nissan Note,Automatic,2017,1200 CC,Foreign Used,"KES 1,350,000"
Audi Q5,Automatic,2016,2000 CC,Kenyan Used,"KES 4,400,000"
Nissan Juke,Automatic,2016,1500 CC,Foreign Used,"KES 1,850,000"
Audi A5 Quattro,Automatic,2016,2000 CC,Foreign Used,"KES 3,599,999"
Nissan Note Medalist,Automatic,2016,1200 CC,Foreign Used,"KES 1,150,000"
Audi A3,Automatic,2016,1800 CC,Foreign Used,"KES 2,349,999"
Audi Q5,Automatic,2017,2000 CC,Foreign Used,"KES 4,749,000"
Toyota Alphard,Automatic,2010,2400 CC,Kenyan Used,"KES 1,550,000"
Nissan Xtrail Hybrid,Automatic,2016,2000 CC,Foreign Used,"KES 2,450,000"
Volkswagen Touareg,Automatic,2014,3000 CC,Kenyan Used,"KES 4,799,999"
Audi Q7,Automatic,2011,3000 CC,Kenyan Used,"KES 3,250,000"
Audi A4,Automatic,2016,2000 CC,Foreign Used,"KES 3,150,000"
Toyota Premio,Automatic,2015,1800 CC,Foreign Used,"KES 2,250,000"
Range Rover Vogue Autobiography,Automatic,2014,4400 CC,Foreign Used,"KES 9,999,999"
Nissan Juke Nismo,Automatic,2013,1600 CC,Kenyan Used,"KES 1,250,000"
BMW X3 X-DRIVE 35i,Automatic,2013,3000 CC,Kenyan Used,"KES 3,199,999"
Nissan Note,Automatic,2015,1200 CC,Foreign Used,"KES 979,999"
Subaru Legacy B4,Automatic,2015,2500 CC,Kenyan Used,"KES 1,999,999"
Volkswagen Golf Alltrack,Automatic,2016,1800 CC,Foreign Used,"KES 2,299,999"
Toyota Harrier,Automatic,2017,2000 CC,Foreign Used,"KES 3,850,000"
Honda Jade,Automatic,2016,1500 CC,Foreign Used,"KES 2,099,999"
Audi Q5 S line,Automatic,2016,2000 CC,Foreign Used,"KES 4,350,000"
BMW X3 XDRIVE 20d,Automatic,2016,2000 CC,Foreign Used,"KES 3,799,999"
Toyota Hilux,Manual,1995,2800 CC,Kenyan Used,"KES 749,999"
Subaru Outback,Automatic,2015,2500 CC,Kenyan Used,"KES 2,899,999"
Mazda Bongo,Automatic,2012,1500 CC,Kenyan Used,"KES 849,999"
Lexus LX570,Automatic,2015,5700 CC,Kenyan Used,"KES 9,250,000"
Toyota Harrier,Automatic,2016,2000 CC,Kenyan Used,"KES 3,899,999"
Jeep Grand Cherokee,Automatic,2013,3000 CC,Kenyan Used,"KES 4,249,000"
Mitsubishi Galant,Automatic,2015,1800 CC,Kenyan Used,"KES 1,399,999"
Mercedes Benz GLC250 4MATIC,Automatic,2016,2000 CC,Foreign Used,"KES 6,349,999"
Nissan Note,Automatic,2016,1200 CC,Foreign Used,"KES 1,250,000"
Toyota Harrier,Automatic,2017,2000 CC,Foreign Used,"KES 3,850,000"
Toyota Vanguard,Automatic,2012,2400 CC,Kenyan Used,"KES 1,899,999"
Volvo S60 T3,Automatic,2016,1500 CC,Foreign Used,"KES 2,250,000"
Nissan Skyline GT,Automatic,2015,2000 CC,Foreign Used,"KES 2,199,999"
Toyota Sienta,Automatic,2016,1500 CC,Foreign Used,"KES 1,450,000"
Audi A5 SLine,Automatic,2016,2000 CC,Foreign Used,"KES 3,650,000"
Mazda CX5,Automatic,2016,2200 CC,Foreign Used,"KES 2,999,999"
Nissan Note,Automatic,2016,1200 CC,Foreign Used,"KES 1,120,000"
Ford Ranger Wildtrack,Automatic,2019,3200 CC,Foreign Used,"KES 5,950,000"
Jeep Cherokee,Automatic,2014,3200 CC,Kenyan Used,"KES 2,950,000"
Mazda CX5,Automatic,2016,2500 CC,Foreign Used,"KES 3,499,999"
Mazda CX3,Automatic,2016,1500 CC,Foreign Used,"KES 2,099,999"
Toyota Vitz,Automatic,2015,1300 CC,Foreign Used,"KES 1,199,999"
Peugeot 208,Automatic,2016,1200 CC,Foreign Used,"KES 1,249,999"
Ford Ranger,Automatic,2013,3200 CC,Kenyan Used,"KES 2,849,000"
Tata DT DSLB,Automatic,2017,2956 CC,Kenyan Used,"KES 2,699,999"
Mazda Axela,Automatic,2016,1500 CC,Foreign Used,"KES 1,950,000"
Audi Q5 S-LINE,Automatic,2016,2000 CC,Foreign Used,"KES 4,350,000"
Audi A6,Automatic,2015,2800 CC,Kenyan Used,"KES 3,599,999"
Ford Ranger,Automatic,2016,3200 CC,Kenyan Used,"KES 5,650,000"
Volvo XC60 D4,Automatic,2016,2000 CC,Foreign Used,"KES 3,149,999"
Toyota Aqua,Automatic,2016,1500 CC,Foreign Used,"KES 1,499,999"
Toyota Harrier,Automatic,2014,2000 CC,Kenyan Used,"KES 2,999,999"
Nissan Xtrail Hybrid,Automatic,2016,2000 CC,Foreign Used,"KES 2,999,999"
Jeep Renegade,Automatic,2016,1400 CC,Foreign Used,"KES 2,899,999"
Toyota Toyoace ADF,Automatic,2009,3000 CC,Kenyan Used,"KES 1,450,000"
Range Rover Sport,Automatic,2016,3000 CC,Foreign Used,"KES 7,799,999"
Toyota Probox,Automatic,2016,1300 CC,Foreign Used,"KES 1,250,000"
Audi Q3,Automatic,2016,2000 CC,Foreign Used,"KES 3,650,000"
Nissan Note,Automatic,2016,1200 CC,Foreign Used,"KES 1,070,000"
"BMW X1 SDrive18i ""F48""",Automatic,2016,1500 CC,Foreign Used,"KES 2,999,999"
Honda CRV,Automatic,2016,2400 CC,Foreign Used,"KES 3,299,999"
Subaru Impreza G5,Automatic,2015,1600 CC,Kenyan Used,"KES 1,650,000"
Volkswagen Variant R,Automatic,2015,2000 CC,Kenyan Used,"KES 3,549,999"
Peugeot 508,Automatic,2016,1600 CC,Foreign Used,"KES 2,299,999"
Subaru outback,Automatic,2015,2500 CC,Kenyan Used,"KES 2,565,000"
BMW 740i,Automatic,2010,3000 CC,Kenyan Used,"KES 2,699,999"
Audi A4,Automatic,2016,2000 CC,Foreign Used,"KES 3,150,000"
Peugeot 208,Automatic,2017,1200 CC,Foreign Used,"KES 1,350,000"
Ford Everest Limited,Automatic,2015,3200 CC,Foreign Used,"KES 4,300,000"
Peugeot 208,Automatic,2016,1200 CC,Foreign Used,"KES 1,330,000"
Mazda Demio,Automatic,2016,1500 CC,Foreign Used,"KES 1,350,000"
BMW 523i,Automatic,2012,2000 CC,Kenyan Used,"KES 1,850,000"
Volkswagen Touareg,Automatic,2016,3600 CC,Foreign Used,"KES 6,350,000"
Toyota Axio,Automatic,2016,1500 CC,Foreign Used,"KES 1,850,000"
Audi RS3,Automatic,2016,2500 CC,Foreign Used,"KES 5,199,999"
Isuzu Elf Light Truck,Automatic,2014,3000 CC,Foreign Used,"KES 1,850,000"
Mercedes-Benz E350 D,Automatic,2017,3000 CC,Foreign Used,"£26,052"
BMW X3 M-sport,Automatic,2016,2000 CC,Foreign Used,"KES 4,000,000"
Volkswagen Tiguan,Automatic,2018,1400 CC,Foreign Used,"KES 3,950,000"
Audi Q5 S-line,Automatic,2016,2000 CC,Foreign Used,"KES 4,300,000"
Toyota C-HR,Automatic,2016,1800 CC,Kenyan Used,"KES 3,650,000"
Subaru Forester XT,Automatic,2015,2000 CC,Foreign Used,"KES 3,250,000"
Nissan Sylphy,Automatic,2015,1800 CC,Foreign Used,"KES 1,650,000"
Mazda Axela,Automatic,2016,1500 CC,Foreign Used,"KES 1,999,999"
Range Rover Evoque,Automatic,2013,2000 CC,Kenyan Used,"KES 2,900,000"
Toyota C-HR Hybrid,Automatic,2016,1800 CC,Foreign Used,"KES 3,799,999"
Nissan Xtrail,Automatic,2016,2000 CC,Foreign Used,"KES 2,449,999"
BMW 218i,Automatic,2016,1500 CC,Foreign Used,"KES 2,250,000"
Nissan Note E-Power,Automatic,2017,1200 CC,Foreign Used,"KES 1,349,999"
Nissan Juke,Automatic,2014,1499 CC,Kenyan Used,"KES 1,350,000"
Range Rover Vogue TDV6,Automatic,2016,3000 CC,Foreign Used,"KES 11,500,000"
Range Rover Sport HSE,Automatic,2016,3000 CC,Foreign Used,"KES 9,400,000"
Mazda CX-5,Automatic,2016,2500 CC,Foreign Used,"KES 3,450,000"
Ford Ranger,Manual,2013,3200 CC,Foreign Used,"KES 2,800,000"
Peugeot 208,Automatic,2016,1200 CC,Foreign Used,"KES 1,380,000"
Subaru Legacy B4,Automatic,2015,2500 CC,Foreign Used,"KES 2,299,999"
Toyota Vitz,Automatic,2016,1000 CC,Foreign Used,"KES 1,280,000"
Mercedes Benz GLC 250 4matic,Automatic,2016,2000 CC,Foreign Used,"KES 4,949,999"
Toyota Voxy,Automatic,2016,2000 CC,Foreign Used,"KES 2,650,000"
Subaru XV,Automatic,2016,2000 CC,Foreign Used,"KES 2,349,999"
Nissan Note,Automatic,2016,1200 CC,Foreign Used,"KES 1,100,000"
Honda Fit Shuttle Hybrid,Automatic,2016,1500 CC,Foreign Used,"KES 1,700,000"
Mazda Demio,Automatic,2015,1300 CC,Foreign Used,"KES 1,150,000"
Mitsubishi Outlander,Automatic,2016,2000 CC,Foreign Used,"KES 3,500,000"
Mazda Axela,Automatic,2016,2200 CC,Foreign Used,"KES 1,950,000"
Audi Q7,Automatic,2009,3600 CC,Kenyan Used,"KES 2,500,000"
Volvo S60 D4,Automatic,2016,1500 CC,Foreign Used,"KES 2,200,000"
Toyota Auris,Automatic,2016,1500 CC,Foreign Used,"KES 1,800,000"
Peugeot 207,Automatic,2012,1600 CC,Kenyan Used,"KES 950,000"
Mazda Atenza,Automatic,2016,2200 CC,Foreign Used,"KES 2,150,000"
Isuzu Elf Light Truck,Automatic,2014,Foreign Used,Foreign Used,"KES 1,850,000"
Jaguar XJ,Automatic,2014,2000 CC,Foreign Used,"KES 4,100,000"
