Vehicle,Manufacturer,Model,Transmission Type,CC,Year,Car Age,Usage Origin,Price,Price Range
Suzuki Escudo,Suzuki,Escudo,Automatic,2000.0,2008,16,Kenyan Used,749999.0,500k-1M
Subaru Impreza,Subaru,Impreza,Automatic,2000.0,2013,11,Kenyan Used,1099999.0,1M-2M
Audi A4,Audi,A4,Automatic,2000.0,2013,11,Kenyan Used,1749999.0,1M-2M
Honda Odyssey,Honda,Odyssey,Automatic,2400.0,2009,15,Kenyan Used,969999.0,500k-1M
Mazda Cx5,Mazda,Cx5,Automatic,2200.0,2016,8,Kenyan Used,2099999.0,2M-3M
Mercedes Benz E200,Mercedes Benz,E200,Automatic,2000.0,2016,8,Kenyan Used,5399999.0,5M-10M
Volkswagen Polo,Volkswagen,Polo,Automatic,1200.0,2012,12,Kenyan Used,819999.0,500k-1M
Lexus Rx450H,Lexus,Rx450H,Automatic,3500.0,2017,7,Foreign Used,6999999.0,5M-10M
Toyota Premio,Toyota,Premio,Automatic,2000.0,2010,14,Kenyan Used,1099999.0,1M-2M
Volkswagen Golf Gti,Volkswagen,Golf Gti,Automatic,2000.0,2017,7,Foreign Used,3099999.0,3M-5M
Toyota Crown,Toyota,Crown,Automatic,2500.0,2014,10,Kenyan Used,1999999.0,1M-2M
Range Rover Vogue,Range Rover,Vogue,Automatic,3000.0,2019,5,Foreign Used,16999999.0,Above 10
Volkswagen Arteon,Volkswagen,Arteon,Automatic,2000.0,2017,7,Foreign Used,4849999.0,3M-5M
Lexus Ct200H,Lexus,Ct200H,Automatic,1800.0,2011,13,Kenyan Used,1599999.0,1M-2M
Nissan Xtrail,Nissan,Xtrail,Automatic,2000.0,2015,9,Kenyan Used,2119999.0,2M-3M
Nissan Dayz,Nissan,Dayz,Automatic,660.0,2017,7,Foreign Used,829999.0,500k-1M
Mazda Atenza,Mazda,Atenza,Automatic,2000.0,2016,8,Foreign Used,2599999.0,2M-3M
Toyota Auris,Toyota,Auris,Automatic,1500.0,2012,12,Kenyan Used,1149999.0,1M-2M
Toyota Axio,Toyota,Axio,Automatic,1500.0,2017,7,Foreign Used,1999999.0,1M-2M
